metric,n_neighbors,weights,validation_position_accuracy,fit_seconds,predict_seconds
euclidean,1,uniform,0.4309462915601023,0.14350836107041687,0.1257246700115502
euclidean,1,distance,0.4309462915601023,0.1131497680908069,0.08452616899739951
euclidean,3,uniform,0.37851662404092073,0.1060480170417577,0.06592978804837912
euclidean,3,distance,0.4360613810741688,0.10694772691931576,0.06896719604264945
euclidean,5,uniform,0.3836317135549872,0.10603110201191157,0.0693141520023346
euclidean,5,distance,0.4258312020460358,0.10373019403778017,0.0750501409638673
euclidean,7,uniform,0.3772378516624041,0.10474633995909244,0.07291747094132006
euclidean,7,distance,0.40281329923273657,0.09918448608368635,0.06894350703805685
euclidean,9,uniform,0.3567774936061381,0.09858908003661782,0.07082365907263011
euclidean,9,distance,0.39641943734015345,0.09927779692225158,0.06864027993287891
euclidean,11,uniform,0.35805626598465473,0.10811946098692715,0.06844745797570795
euclidean,11,distance,0.3938618925831202,0.10547408205457032,0.07035688392352313
euclidean,15,uniform,0.34654731457800514,0.10584390093572438,0.06746721093077213
euclidean,15,distance,0.40153452685422,0.10128723399247974,0.06905443000141531
euclidean,21,uniform,0.35038363171355497,0.1035873310174793,0.0670908170286566
euclidean,21,distance,0.391304347826087,0.09977057506330311,0.07581000810023397
manhattan,1,uniform,0.5076726342710998,0.0979172500083223,0.35626394697465
manhattan,1,distance,0.5076726342710998,0.09902456402778625,0.362222125986591
manhattan,3,uniform,0.45652173913043476,0.10015755600761622,0.3532399319810793
manhattan,3,distance,0.5051150895140665,0.0988219240680337,0.3456446341006085
manhattan,5,uniform,0.45652173913043476,0.10263431107159704,0.3530032540438697
manhattan,5,distance,0.49104859335038364,0.09687096299603581,0.3363226009532809
manhattan,7,uniform,0.4641943734015345,0.0956776849925518,0.3380633731139824
manhattan,7,distance,0.4961636828644501,0.0945872679585591,0.33989167294930667
manhattan,9,uniform,0.44884910485933505,0.09523372899275273,0.33659845194779336
manhattan,9,distance,0.49872122762148335,0.10023885301779956,0.34483805298805237
manhattan,11,uniform,0.4514066496163683,0.10522589599713683,0.3362429350381717
manhattan,11,distance,0.4884910485933504,0.10022387898061424,0.3542636539787054
manhattan,15,uniform,0.44501278772378516,0.09949131798930466,0.32758347608614713
manhattan,15,distance,0.4820971867007673,0.09767765796277672,0.34322053799405694
manhattan,21,uniform,0.4373401534526854,0.09891345305368304,0.33434058201964945
manhattan,21,distance,0.4641943734015345,0.0967742590000853,0.3380279779667035
chebyshev,1,uniform,0.20332480818414322,0.09640668099746108,0.6360447240294889
chebyshev,1,distance,0.20332480818414322,0.10640043008606881,0.639646083000116
chebyshev,3,uniform,0.17774936061381075,0.09839149890467525,0.6205878949258476
chebyshev,3,distance,0.1918158567774936,0.097827835008502,0.6333485180512071
chebyshev,5,uniform,0.16879795396419436,0.09959827398415655,0.6419934509322047
chebyshev,5,distance,0.18925831202046037,0.0987308039329946,0.6466173949884251
chebyshev,7,uniform,0.170076726342711,0.09797225799411535,0.6362020820379257
chebyshev,7,distance,0.1867007672634271,0.10081181896384805,0.6226691129850224
chebyshev,9,uniform,0.1636828644501279,0.09919071802869439,0.6177829430671409
chebyshev,9,distance,0.1867007672634271,0.09716601192485541,0.6238032990368083
chebyshev,11,uniform,0.1636828644501279,0.10201973409857601,0.6208854709984735
chebyshev,11,distance,0.1815856777493606,0.1051988679682836,0.6185916879912838
chebyshev,15,uniform,0.15728900255754474,0.10400754399597645,0.618629144039005
chebyshev,15,distance,0.18286445012787725,0.09574362798593938,0.6344332160660997
chebyshev,21,uniform,0.14705882352941177,0.1016351239522919,0.6240324259269983
chebyshev,21,distance,0.1649616368286445,0.09673027310054749,0.6281474519055337
