metric,n_neighbors,weights,validation_position_accuracy,fit_seconds,predict_seconds
euclidean,1,uniform,0.32418952618453867,0.1457933969795704,0.07421971799340099
euclidean,1,distance,0.32418952618453867,0.10214999492745847,0.06958417606074363
euclidean,3,uniform,0.30423940149625933,0.10456976306159049,0.06702784297522157
euclidean,3,distance,0.32917705735660846,0.10754068288952112,0.06837029999587685
euclidean,5,uniform,0.3266832917705736,0.11196563101839274,0.06490773195400834
euclidean,5,distance,0.33915211970074816,0.11112598597537726,0.07199777197092772
euclidean,7,uniform,0.3316708229426434,0.10722999495919794,0.0665031090611592
euclidean,7,distance,0.36159600997506236,0.10604701610282063,0.0679409330477938
euclidean,9,uniform,0.3266832917705736,0.10724309994839132,0.06581474794074893
euclidean,9,distance,0.34413965087281795,0.10541408497374505,0.06816372100729495
euclidean,11,uniform,0.3316708229426434,0.10638526396360248,0.06857439898885787
euclidean,11,distance,0.3566084788029925,0.1013331530848518,0.08084466599393636
euclidean,15,uniform,0.3192019950124688,0.09707096894271672,0.06911129807122052
euclidean,15,distance,0.3266832917705736,0.0966657999670133,0.06770213099662215
euclidean,21,uniform,0.2967581047381546,0.09721952397376299,0.07184783194679767
euclidean,21,distance,0.3167082294264339,0.09708392596803606,0.07074394496157765
manhattan,1,uniform,0.38902743142144636,0.09749037004075944,0.23857720498926938
manhattan,1,distance,0.38902743142144636,0.10245460597798228,0.21798003499861807
manhattan,3,uniform,0.3765586034912718,0.10027385596185923,0.21315915207378566
manhattan,3,distance,0.40399002493765584,0.09840104100294411,0.22297306405380368
manhattan,5,uniform,0.38902743142144636,0.09802159108221531,0.21230485092382878
manhattan,5,distance,0.4114713216957606,0.10033379995729774,0.21280687500257045
manhattan,7,uniform,0.3915211970074813,0.09871732199098915,0.21349973801989108
manhattan,7,distance,0.43640897755610975,0.09899680002126843,0.21903864608611912
manhattan,9,uniform,0.38902743142144636,0.09930305799935013,0.2179311269428581
manhattan,9,distance,0.4239401496259352,0.09612988599110395,0.22303799400106072
manhattan,11,uniform,0.38403990024937656,0.10006606008391827,0.21427205798681825
manhattan,11,distance,0.4164588528678304,0.09892150398809463,0.22046969400253147
manhattan,15,uniform,0.39900249376558605,0.10464510996825993,0.21545222611166537
manhattan,15,distance,0.4164588528678304,0.09820710902567953,0.21797667909413576
manhattan,21,uniform,0.371571072319202,0.09781360405031592,0.21169725304935127
manhattan,21,distance,0.39650872817955113,0.09600359795149416,0.2146933670155704
chebyshev,1,uniform,0.2194513715710723,0.09788858308456838,0.39180059800855815
chebyshev,1,distance,0.2194513715710723,0.09775821398943663,0.393144647940062
chebyshev,3,uniform,0.20698254364089774,0.09778730804100633,0.39367239095736295
chebyshev,3,distance,0.22194513715710723,0.09624701493885368,0.39640980097465217
chebyshev,5,uniform,0.19950124688279303,0.09753792802803218,0.39791051601059735
chebyshev,5,distance,0.22194513715710723,0.10687949601560831,0.40803810104262084
chebyshev,7,uniform,0.17955112219451372,0.10773125197738409,0.39557492395397276
chebyshev,7,distance,0.2169576059850374,0.10780733509454876,0.40459004207514226
chebyshev,9,uniform,0.17955112219451372,0.10643062298186123,0.3945142099400982
chebyshev,9,distance,0.18952618453865336,0.09900209400802851,0.40034274593926966
chebyshev,11,uniform,0.17955112219451372,0.0967755519086495,0.39843389904126525
chebyshev,11,distance,0.20448877805486285,0.10104301094543189,0.4051682320423424
chebyshev,15,uniform,0.18453865336658354,0.10033829195890576,0.400678146048449
chebyshev,15,distance,0.20698254364089774,0.09961343405302614,0.40440376999322325
chebyshev,21,uniform,0.16458852867830423,0.10302851896267384,0.40103470301255584
chebyshev,21,distance,0.1970074812967581,0.10172785306349397,0.40714734699577093
