metric,n_neighbors,weights,validation_position_accuracy,fit_seconds,predict_seconds
euclidean,1,uniform,0.4954128440366973,0.18651925306767225,0.10587263805791736
euclidean,1,distance,0.4954128440366973,0.16807018197141588,0.1077484730631113
euclidean,3,uniform,0.43730886850152906,0.18348113191314042,0.10359131905715913
euclidean,3,distance,0.5076452599388379,0.18147084198426455,0.10996185103431344
euclidean,5,uniform,0.43730886850152906,0.1702497589867562,0.10749310802202672
euclidean,5,distance,0.5076452599388379,0.17120922997128218,0.10697035398334265
euclidean,7,uniform,0.43425076452599387,0.1691379330586642,0.10427341400645673
euclidean,7,distance,0.4892966360856269,0.17039922205731273,0.10860426805447787
euclidean,9,uniform,0.4525993883792049,0.1746312869945541,0.10496466094627976
euclidean,9,distance,0.4831804281345566,0.17012799496296793,0.11169355595484376
euclidean,11,uniform,0.43730886850152906,0.17150440101977438,0.10473863896913826
euclidean,11,distance,0.48623853211009177,0.17149022803641856,0.10788020899053663
euclidean,15,uniform,0.45565749235474007,0.17150307295378298,0.10607843799516559
euclidean,15,distance,0.48623853211009177,0.17507288698107004,0.10966296296101063
euclidean,21,uniform,0.4831804281345566,0.17244809889234602,0.10848103789612651
euclidean,21,distance,0.4984709480122324,0.17366598499938846,0.10972561594098806
manhattan,1,uniform,0.5840978593272171,0.1751339950133115,0.3040035739541054
manhattan,1,distance,0.5840978593272171,0.1722519809845835,0.30858457600697875
manhattan,3,uniform,0.5535168195718655,0.17353989009279758,0.3061267880257219
manhattan,3,distance,0.5840978593272171,0.1685625510290265,0.3076047300128266
manhattan,5,uniform,0.5871559633027523,0.16531862202100456,0.3024836169788614
manhattan,5,distance,0.617737003058104,0.16590875596739352,0.3062939220108092
manhattan,7,uniform,0.5871559633027523,0.16565835499204695,0.29622104694135487
manhattan,7,distance,0.6422018348623854,0.16245501395314932,0.2992007730063051
manhattan,9,uniform,0.5626911314984709,0.16863728302996606,0.30259288498200476
manhattan,9,distance,0.617737003058104,0.16246961907017976,0.3062657850096002
manhattan,11,uniform,0.5535168195718655,0.18127825495321304,0.30422660696785897
manhattan,11,distance,0.6116207951070336,0.1661732830107212,0.30573844304308295
manhattan,15,uniform,0.5688073394495413,0.16830244997981936,0.30259212001692504
manhattan,15,distance,0.6299694189602446,0.16638936090748757,0.3079771660268307
manhattan,21,uniform,0.5626911314984709,0.16845778794959188,0.2968202120391652
manhattan,21,distance,0.599388379204893,0.16470415296498686,0.3004274950362742
chebyshev,1,uniform,0.23853211009174313,0.16743414395023137,0.5565820860210806
chebyshev,1,distance,0.23853211009174313,0.16637978295329958,0.5592658040113747
chebyshev,3,uniform,0.2018348623853211,0.174957933020778,0.5630626430502161
chebyshev,3,distance,0.22324159021406728,0.16727519407868385,0.5679319810587913
chebyshev,5,uniform,0.1834862385321101,0.1686979120131582,0.5574627729365602
chebyshev,5,distance,0.21712538226299694,0.16389355796854943,0.5597375660436228
chebyshev,7,uniform,0.18654434250764526,0.1692902409704402,0.5572136481059715
chebyshev,7,distance,0.21712538226299694,0.1676978999748826,0.5600430490449071
chebyshev,9,uniform,0.1834862385321101,0.16537192300893366,0.5563923879526556
chebyshev,9,distance,0.21712538226299694,0.16397963103372604,0.561056618927978
chebyshev,11,uniform,0.1743119266055046,0.16757789009716362,0.5555936869932339
chebyshev,11,distance,0.21406727828746178,0.1709480379940942,0.5636484660208225
chebyshev,15,uniform,0.1834862385321101,0.16580559802241623,0.563741352991201
chebyshev,15,distance,0.19877675840978593,0.16487909690476954,0.5654778130119666
chebyshev,21,uniform,0.17737003058103976,0.17828719003591686,0.5574446939863265
chebyshev,21,distance,0.20489296636085627,0.1631874869344756,0.5720037809805945
