class_weight,max_depth,max_features,min_samples_leaf,min_samples_split,n_estimators,validation_position_accuracy,fit_seconds,predict_seconds
balanced,,sqrt,1,2,200,0.7151515151515152,6.898491068976,0.058209548937156796
balanced,,sqrt,1,2,300,0.7333333333333333,10.262553559034131,0.07580418803263456
balanced,,sqrt,1,2,500,0.7515151515151515,16.932447033002973,0.10019995598122478
balanced,,sqrt,1,2,800,0.7545454545454545,26.83795759198256,0.16130322497338057
balanced,,sqrt,1,5,200,0.7303030303030303,6.595710689085536,0.05581421102397144
balanced,,sqrt,1,5,300,0.7545454545454545,9.916406412958167,0.07643773499876261
balanced,,sqrt,1,5,500,0.7545454545454545,16.6525989290094,0.1080043480033055
balanced,,sqrt,1,5,800,0.7727272727272727,26.14236677705776,0.16077966999728233
balanced,,sqrt,1,10,200,0.6909090909090909,6.3786390769528225,0.053226002026349306
balanced,,sqrt,1,10,300,0.7,9.616163437021896,0.06521273194812238
balanced,,sqrt,1,10,500,0.7212121212121212,15.878359769005328,0.09749381092842668
balanced,,sqrt,1,10,800,0.7151515151515152,25.351395795005374,0.16867949604056776
balanced,,sqrt,2,2,200,0.7272727272727273,6.360747892060317,0.05525871796999127
balanced,,sqrt,2,2,300,0.7424242424242424,9.778482542023994,0.07664146297611296
balanced,,sqrt,2,2,500,0.7484848484848485,15.984128869953565,0.10692076606210321
balanced,,sqrt,2,2,800,0.7575757575757576,25.54335228598211,0.16160937305539846
balanced,,sqrt,2,5,200,0.7,6.27803861303255,0.05464283295441419
balanced,,sqrt,2,5,300,0.7242424242424242,9.692806227947585,0.07658488699235022
balanced,,sqrt,2,5,500,0.7363636363636363,15.776866946951486,0.10777385998517275
balanced,,sqrt,2,5,800,0.7424242424242424,25.355070758028887,0.16932575905229896
balanced,,sqrt,2,10,200,0.703030303030303,6.207244697026908,0.05713308905251324
balanced,,sqrt,2,10,300,0.7181818181818181,9.413154943962581,0.07541084801778197
balanced,,sqrt,2,10,500,0.7272727272727273,15.612586949951947,0.10727670195046812
balanced,,sqrt,2,10,800,0.7333333333333333,24.714192013954744,0.149808889022097
balanced,,sqrt,4,2,200,0.7,5.804881024057977,0.055164310964755714
balanced,,sqrt,4,2,300,0.703030303030303,8.758794998051599,0.07732446899171919
balanced,,sqrt,4,2,500,0.7272727272727273,14.48473602195736,0.09538938105106354
balanced,,sqrt,4,2,800,0.7363636363636363,23.05682371300645,0.151948647107929
balanced,,sqrt,4,5,200,0.7,5.836122737964615,0.054518839926458895
balanced,,sqrt,4,5,300,0.703030303030303,8.797775011975318,0.06577277195174247
balanced,,sqrt,4,5,500,0.7272727272727273,14.430517356959172,0.09805896296165884
balanced,,sqrt,4,5,800,0.7363636363636363,23.095137858064845,0.15889195608906448
balanced,,sqrt,4,10,200,0.6909090909090909,5.7281603598967195,0.054209092049859464
balanced,,sqrt,4,10,300,0.696969696969697,8.68592313094996,0.07577398500870913
balanced,,sqrt,4,10,500,0.7151515151515152,14.423061552923173,0.10625581990461797
balanced,,sqrt,4,10,800,0.7212121212121212,23.189188392017968,0.15864680195227265
balanced,,log2,1,2,200,0.7303030303030303,1.3806600419338793,0.05461517896037549
balanced,,log2,1,2,300,0.7575757575757576,2.109766127076,0.06519586103968322
balanced,,log2,1,2,500,0.7757575757575758,3.450159137020819,0.10641847900114954
balanced,,log2,1,2,800,0.7818181818181819,5.440857662004419,0.14875890500843525
balanced,,log2,1,5,200,0.7575757575757576,1.3773943999549374,0.05419118807185441
balanced,,log2,1,5,300,0.7484848484848485,2.0616290360921994,0.07474921701941639
balanced,,log2,1,5,500,0.7696969696969697,3.314094949979335,0.10695847508031875
balanced,,log2,1,5,800,0.7666666666666667,5.378031619009562,0.16220067802350968
balanced,,log2,1,10,200,0.7272727272727273,1.3031237319810316,0.055263122892938554
balanced,,log2,1,10,300,0.7303030303030303,1.910339817055501,0.07397919392678887
balanced,,log2,1,10,500,0.7303030303030303,3.1738157250219956,0.10644422098994255
balanced,,log2,1,10,800,0.7424242424242424,5.150266777025536,0.1601081769913435
balanced,,log2,2,2,200,0.7393939393939394,1.3097735079936683,0.055839589913375676
balanced,,log2,2,2,300,0.7515151515151515,1.9558596099959686,0.06726880499627441
balanced,,log2,2,2,500,0.7666666666666667,3.2359384320443496,0.09848833305295557
balanced,,log2,2,2,800,0.7636363636363637,5.211584216915071,0.16166325297672302
balanced,,log2,2,5,200,0.7212121212121212,1.2772517770063132,0.045789411989971995
balanced,,log2,2,5,300,0.7484848484848485,1.9568002399755642,0.07668839697726071
balanced,,log2,2,5,500,0.7575757575757576,3.2769027510657907,0.0977883089799434
balanced,,log2,2,5,800,0.7696969696969697,5.100422861985862,0.1609104840317741
balanced,,log2,2,10,200,0.7151515151515152,1.2698595960391685,0.05625681497622281
balanced,,log2,2,10,300,0.7454545454545455,1.903913086047396,0.0650394040858373
balanced,,log2,2,10,500,0.7454545454545455,3.1726397479651496,0.10893484496045858
balanced,,log2,2,10,800,0.7393939393939394,4.933467149036005,0.1394283309346065
balanced,,log2,4,2,200,0.7303030303030303,1.1871312389848754,0.0561785229947418
balanced,,log2,4,2,300,0.7363636363636363,1.788611082942225,0.07712311309296638
balanced,,log2,4,2,500,0.7363636363636363,2.9113655700348318,0.10644744604360312
balanced,,log2,4,2,800,0.7484848484848485,4.655909243039787,0.15945641393773258
balanced,,log2,4,5,200,0.7303030303030303,1.198064196971245,0.0538557959953323
balanced,,log2,4,5,300,0.7363636363636363,1.777099299011752,0.06758328794967383
balanced,,log2,4,5,500,0.7363636363636363,2.9250544800888747,0.10859308205544949
balanced,,log2,4,5,800,0.7484848484848485,4.6488904110156,0.1490547750145197
balanced,,log2,4,10,200,0.6909090909090909,1.1795095260022208,0.05686488398350775
balanced,,log2,4,10,300,0.7121212121212122,1.7363270340720192,0.07568108104169369
