class_weight,max_depth,max_features,min_samples_leaf,min_samples_split,n_estimators,validation_position_accuracy,fit_seconds,predict_seconds
balanced,,sqrt,1,2,200,0.71571072319202,6.247056163963862,0.05711282906122506
balanced,,sqrt,1,2,300,0.7231920199501247,9.151268990943208,0.07827782002277672
balanced,,sqrt,1,2,500,0.7281795511221946,15.213145353947766,0.11019144207239151
balanced,,sqrt,1,2,800,0.7381546134663342,24.354407064034604,0.153700300026685
balanced,,sqrt,1,5,200,0.7356608478802993,6.006922043976374,0.057748285005800426
balanced,,sqrt,1,5,300,0.7306733167082294,8.93136556900572,0.07813414395786822
balanced,,sqrt,1,5,500,0.7456359102244389,14.866958084050566,0.10874013602733612
balanced,,sqrt,1,5,800,0.7456359102244389,23.87945116101764,0.16262311697937548
balanced,,sqrt,1,10,200,0.7082294264339152,5.895732279983349,0.05800958292093128
balanced,,sqrt,1,10,300,0.7182044887780549,8.622121355030686,0.07918452203739434
balanced,,sqrt,1,10,500,0.7256857855361596,14.411267806077376,0.1118366300361231
balanced,,sqrt,1,10,800,0.7206982543640897,22.918841292033903,0.1639272450702265
balanced,,sqrt,2,2,200,0.7306733167082294,5.873055292991921,0.05728592805098742
balanced,,sqrt,2,2,300,0.7381546134663342,8.99771156301722,0.0789945269934833
balanced,,sqrt,2,2,500,0.7406483790523691,14.67648378899321,0.11081392096821219
balanced,,sqrt,2,2,800,0.7406483790523691,23.395721117034554,0.16106648498680443
balanced,,sqrt,2,5,200,0.7306733167082294,5.865290668094531,0.059029284049756825
balanced,,sqrt,2,5,300,0.7381546134663342,8.724429400986992,0.08084689802490175
balanced,,sqrt,2,5,500,0.7456359102244389,14.394129274995066,0.11063317698426545
balanced,,sqrt,2,5,800,0.743142144638404,23.18137074203696,0.15252158604562283
balanced,,sqrt,2,10,200,0.7032418952618454,5.773045838926919,0.05692660098429769
balanced,,sqrt,2,10,300,0.7256857855361596,8.50113326497376,0.06742936803493649
balanced,,sqrt,2,10,500,0.7456359102244389,14.131091492949054,0.10966300405561924
balanced,,sqrt,2,10,800,0.7306733167082294,22.719566498999484,0.1638664259808138
balanced,,sqrt,4,2,200,0.7182044887780549,5.400531055987813,0.057545220013707876
balanced,,sqrt,4,2,300,0.7206982543640897,8.278214148944244,0.06801365199498832
balanced,,sqrt,4,2,500,0.713216957605985,13.37858440389391,0.10783381399232894
balanced,,sqrt,4,2,800,0.7256857855361596,21.47466860199347,0.16100411501247436
balanced,,sqrt,4,5,200,0.7182044887780549,5.438779830001295,0.056589697021991014
balanced,,sqrt,4,5,300,0.7206982543640897,8.219994348008186,0.07764990790747106
balanced,,sqrt,4,5,500,0.713216957605985,13.360343076987192,0.11034428596030921
balanced,,sqrt,4,5,800,0.7256857855361596,21.563119694939815,0.1603288430487737
balanced,,sqrt,4,10,200,0.7057356608478803,5.343231729930267,0.056971434969455004
balanced,,sqrt,4,10,300,0.71571072319202,7.9208093479974195,0.0693356100236997
balanced,,sqrt,4,10,500,0.71571072319202,13.32604165491648,0.11066082306206226
balanced,,sqrt,4,10,800,0.7082294264339152,21.226868032012135,0.16251999302767217
balanced,,log2,1,2,200,0.685785536159601,1.2112774431006983,0.05685201799497008
balanced,,log2,1,2,300,0.6882793017456359,1.7794563369825482,0.07037206005770713
balanced,,log2,1,2,500,0.7182044887780549,3.0625824470771477,0.10885847406461835
balanced,,log2,1,2,800,0.7082294264339152,4.706712236977182,0.16126831795554608
balanced,,log2,1,5,200,0.7007481296758105,1.15992039302364,0.05654145800508559
balanced,,log2,1,5,300,0.7032418952618454,1.7511124949669465,0.0791623720433563
balanced,,log2,1,5,500,0.7306733167082294,2.844962467905134,0.11027355003170669
balanced,,log2,1,5,800,0.7256857855361596,4.567255180096254,0.16078842000570148
balanced,,log2,1,10,200,0.6807980049875312,1.1267152739455923,0.056883453973568976
balanced,,log2,1,10,300,0.713216957605985,1.6995209180749953,0.06633628089912236
balanced,,log2,1,10,500,0.7082294264339152,2.7260518959956244,0.10959777294192463
balanced,,log2,1,10,800,0.713216957605985,4.370445078937337,0.1611776719801128
balanced,,log2,2,2,200,0.7032418952618454,1.1521537259686738,0.04650209296960384
balanced,,log2,2,2,300,0.71571072319202,1.720611438038759,0.06746466702315956
balanced,,log2,2,2,500,0.7057356608478803,2.803303859080188,0.09904775500763208
balanced,,log2,2,2,800,0.71571072319202,4.478110897936858,0.16170277900528163
balanced,,log2,2,5,200,0.7057356608478803,1.151959359063767,0.05803511699195951
balanced,,log2,2,5,300,0.7107231920199502,1.711488242028281,0.06771064992062747
balanced,,log2,2,5,500,0.7182044887780549,2.81740116502624,0.09772642503958195
balanced,,log2,2,5,800,0.713216957605985,4.419063022942282,0.14356691192369908
balanced,,log2,2,10,200,0.6957605985037406,1.080254576052539,0.05566857708618045
balanced,,log2,2,10,300,0.7082294264339152,1.6215867850696668,0.06727833696641028
balanced,,log2,2,10,500,0.7082294264339152,2.6700752020115033,0.11001543398015201
balanced,,log2,2,10,800,0.713216957605985,4.2532610460184515,0.1641669749515131
balanced,,log2,4,2,200,0.6982543640897756,1.0747710270807147,0.057907967013306916
balanced,,log2,4,2,300,0.7007481296758105,1.5067239500349388,0.06883526698220521
balanced,,log2,4,2,500,0.7082294264339152,2.4913840170484036,0.09957125596702099
balanced,,log2,4,2,800,0.7082294264339152,4.020361306029372,0.16263423406053334
balanced,,log2,4,5,200,0.6982543640897756,1.058544071041979,0.05646689294371754
balanced,,log2,4,5,300,0.7007481296758105,1.54895863996353,0.06603638303931803
balanced,,log2,4,5,500,0.7082294264339152,2.5303525229683146,0.11148486309684813
balanced,,log2,4,5,800,0.7082294264339152,4.0210428410209715,0.15347441798076034
balanced,,log2,4,10,200,0.6932668329177057,1.0454410400707275,0.057073167990893126
balanced,,log2,4,10,300,0.71571072319202,1.5584383920067921,0.07837712008040398
balanced,,log2,4,10,500,0.7206982543640897,2.494286129018292,0.08959781192243099
balanced,,log2,4,10,800,0.7206982543640897,3.947803859016858,0.1516989879310131
balanced,10.0,sqrt,1,2,200,0.57356608478803,3.5825557010248303,0.05742825800552964
balanced,10.0,sqrt,1,2,300,0.5860349127182045,5.377382067032158,0.06780168099794537
balanced,10.0,sqrt,1,2,500,0.6034912718204489,8.776402550982311,0.0995572719257325
balanced,10.0,sqrt,1,2,800,0.5960099750623441,14.040229309932329,0.16149634693283588
balanced,10.0,sqrt,1,5,200,0.5910224438902744,3.5622367409523576,0.058979121036827564
balanced,10.0,sqrt,1,5,300,0.6184538653366584,5.284344846033491,0.0802086628973484
balanced,10.0,sqrt,1,5,500,0.6184538653366584,8.74981939396821,0.10898195998743176
balanced,10.0,sqrt,1,5,800,0.6109725685785536,14.031477681011893,0.1513292359886691
balanced,10.0,sqrt,1,10,200,0.57356608478803,3.531168016954325,0.05681814707349986
balanced,10.0,sqrt,1,10,300,0.5835411471321695,5.324975589988753,0.07771282503381371
balanced,10.0,sqrt,1,10,500,0.6059850374064838,8.78377669409383,0.10950120398774743
balanced,10.0,sqrt,1,10,800,0.6134663341645885,13.997981444001198,0.15250620094593614
balanced,10.0,sqrt,2,2,200,0.5935162094763092,3.540619772975333,0.05648829706478864
balanced,10.0,sqrt,2,2,300,0.6084788029925187,5.269553836085834,0.0677576499292627
balanced,10.0,sqrt,2,2,500,0.6259351620947631,8.753485720022582,0.11053427797742188
balanced,10.0,sqrt,2,2,800,0.6159600997506235,13.94980541698169,0.15181709395255893
balanced,10.0,sqrt,2,5,200,0.6059850374064838,3.593659943086095,0.057864801958203316
balanced,10.0,sqrt,2,5,300,0.6084788029925187,5.21269948896952,0.06718014203943312
balanced,10.0,sqrt,2,5,500,0.6209476309226932,8.714630709029734,0.10002011188771576
balanced,10.0,sqrt,2,5,800,0.6159600997506235,13.889779450953938,0.1496004960499704
balanced,10.0,sqrt,2,10,200,0.5660847880299252,3.565038005937822,0.056846876977942884
balanced,10.0,sqrt,2,10,300,0.5860349127182045,5.261889665038325,0.07649686897639185
balanced,10.0,sqrt,2,10,500,0.6059850374064838,8.679179335944355,0.100906801992096
balanced,10.0,sqrt,2,10,800,0.6234413965087282,13.835044903098606,0.14118350995704532
balanced,10.0,sqrt,4,2,200,0.5835411471321695,3.478141646948643,0.05650816403795034
balanced,10.0,sqrt,4,2,300,0.571072319201995,5.1789142050547525,0.06695023190695792
balanced,10.0,sqrt,4,2,500,0.5985037406483791,8.742983847972937,0.10070303303655237
balanced,10.0,sqrt,4,2,800,0.6184538653366584,13.972334699006751,0.16253306297585368
balanced,10.0,sqrt,4,5,200,0.5835411471321695,3.470598725019954,0.05792937893420458
balanced,10.0,sqrt,4,5,300,0.571072319201995,5.1917312539881095,0.0693096169270575
balanced,10.0,sqrt,4,5,500,0.5985037406483791,8.605789424967952,0.11109261901583523
balanced,10.0,sqrt,4,5,800,0.6184538653366584,13.823666905984282,0.15020708995871246
balanced,10.0,sqrt,4,10,200,0.5586034912718204,3.4574556390289217,0.05815946508664638
balanced,10.0,sqrt,4,10,300,0.5760598503740648,5.187458724016324,0.0672824060311541
balanced,10.0,sqrt,4,10,500,0.5810473815461347,8.606196595006622,0.10955966601613909
balanced,10.0,sqrt,4,10,800,0.5960099750623441,13.689386219950393,0.1600650759646669
balanced,10.0,log2,1,2,200,0.6134663341645885,0.8075741870561615,0.0590055730426684
balanced,10.0,log2,1,2,300,0.6084788029925187,1.1838390429038554,0.07881849398836493
balanced,10.0,log2,1,2,500,0.6408977556109726,1.9204716079402715,0.11158068396616727
