class_weight,max_depth,max_features,min_samples_leaf,min_samples_split,n_estimators,validation_position_accuracy,fit_seconds,predict_seconds
balanced,,sqrt,1,2,200,0.7981651376146789,7.704416818916798,0.06913992995396256
balanced,,sqrt,1,2,300,0.8012232415902141,11.568112031905912,0.07655087800230831
balanced,,sqrt,1,2,500,0.8012232415902141,19.429606328951195,0.10913590900599957
balanced,,sqrt,1,2,800,0.8073394495412844,30.562211534939706,0.14056254795286804
balanced,,sqrt,1,5,200,0.8165137614678899,7.718860819935799,0.06646123097743839
balanced,,sqrt,1,5,300,0.8165137614678899,11.371101349010132,0.07735683210194111
balanced,,sqrt,1,5,500,0.8318042813455657,18.966395344934426,0.11294921499211341
balanced,,sqrt,1,5,800,0.8256880733944955,30.044108632020652,0.14790548000019044
balanced,,sqrt,1,10,200,0.7920489296636085,7.3550841169198975,0.06503315095324069
balanced,,sqrt,1,10,300,0.7981651376146789,11.11117067898158,0.07652866095304489
balanced,,sqrt,1,10,500,0.7951070336391437,18.236017702962272,0.1322076190263033
balanced,,sqrt,1,10,800,0.8012232415902141,29.092910078936256,0.17179103498347104
balanced,,sqrt,2,2,200,0.7920489296636085,7.298844438046217,0.06482875801157206
balanced,,sqrt,2,2,300,0.7951070336391437,10.983906022971496,0.07938200398348272
balanced,,sqrt,2,2,500,0.8073394495412844,18.339881159947254,0.0988558119861409
balanced,,sqrt,2,2,800,0.8134556574923547,29.356039567035623,0.16403905290644616
balanced,,sqrt,2,5,200,0.8012232415902141,7.347937228973024,0.06665430089924484
balanced,,sqrt,2,5,300,0.8042813455657493,11.0287295099115,0.07801524503156543
balanced,,sqrt,2,5,500,0.8226299694189603,18.706149006960914,0.12183817999903113
balanced,,sqrt,2,5,800,0.8287461773700305,29.45539276592899,0.1702645659679547
balanced,,sqrt,2,10,200,0.7859327217125383,7.218127927975729,0.0660024139797315
balanced,,sqrt,2,10,300,0.7951070336391437,10.787243792088702,0.07541781303007156
balanced,,sqrt,2,10,500,0.8012232415902141,17.877788704936393,0.11968115204945207
balanced,,sqrt,2,10,800,0.8103975535168195,28.548862927011214,0.16106717591173947
balanced,,sqrt,4,2,200,0.7767584097859327,6.883790896041319,0.06704614602494985
balanced,,sqrt,4,2,300,0.8103975535168195,10.268139121006243,0.08709143602754921
balanced,,sqrt,4,2,500,0.8103975535168195,16.8011210890254,0.1422980969073251
balanced,,sqrt,4,2,800,0.8073394495412844,26.943097493960522,0.18071572703775018
balanced,,sqrt,4,5,200,0.7767584097859327,6.8555290889926255,0.06507392600178719
balanced,,sqrt,4,5,300,0.8103975535168195,10.11141073401086,0.08974039298482239
balanced,,sqrt,4,5,500,0.8103975535168195,16.908757755998522,0.11999277397990227
balanced,,sqrt,4,5,800,0.8073394495412844,26.791580723016523,0.17172406904865056
balanced,,sqrt,4,10,200,0.7889908256880734,6.792459537042305,0.06715213402640074
balanced,,sqrt,4,10,300,0.7798165137614679,10.085731821949594,0.08637661498505622
balanced,,sqrt,4,10,500,0.8103975535168195,16.83644234901294,0.11777792102657259
balanced,,sqrt,4,10,800,0.8012232415902141,26.599860645015724,0.15969864302314818
balanced,,log2,1,2,200,0.7889908256880734,1.2008939270162955,0.06645951594691724
balanced,,log2,1,2,300,0.7920489296636085,1.8479469120502472,0.07509104697965086
balanced,,log2,1,2,500,0.8103975535168195,2.9555387620348483,0.1186389880022034
balanced,,log2,1,2,800,0.8134556574923547,4.6853809639578685,0.1605471840593964
balanced,,log2,1,5,200,0.7828746177370031,1.1910883859964088,0.06685136805754155
balanced,,log2,1,5,300,0.8012232415902141,1.7509444640018046,0.07589659409131855
balanced,,log2,1,5,500,0.8195718654434251,2.8583657660055906,0.11787099798675627
balanced,,log2,1,5,800,0.8165137614678899,4.604236976010725,0.1710249789757654
balanced,,log2,1,10,200,0.7798165137614679,1.1467355419881642,0.06742627697531134
balanced,,log2,1,10,300,0.7920489296636085,1.6590676249470562,0.07822221308015287
balanced,,log2,1,10,500,0.8012232415902141,2.7172806710004807,0.12081618001684546
balanced,,log2,1,10,800,0.8195718654434251,4.373736257082783,0.18611868401058018
balanced,,log2,2,2,200,0.8073394495412844,1.168594949063845,0.06677939102519304
balanced,,log2,2,2,300,0.8226299694189603,1.6861830829875544,0.08841193001717329
balanced,,log2,2,2,500,0.8195718654434251,2.7787163680186495,0.11020233400631696
balanced,,log2,2,2,800,0.8134556574923547,4.504677167045884,0.1617834399221465
balanced,,log2,2,5,200,0.7951070336391437,1.1514737259130925,0.06589782005175948
balanced,,log2,2,5,300,0.8012232415902141,1.6708830470452085,0.0876861410215497
balanced,,log2,2,5,500,0.8226299694189603,2.780941188102588,0.10807347996160388
balanced,,log2,2,5,800,0.8287461773700305,4.485449312953278,0.13910682394634932
balanced,,log2,2,10,200,0.7828746177370031,1.091043883934617,0.06560947396792471
balanced,,log2,2,10,300,0.8012232415902141,1.6036870969692245,0.07574267499148846
balanced,,log2,2,10,500,0.8226299694189603,2.6510733709437773,0.11881414707750082
balanced,,log2,2,10,800,0.8195718654434251,4.266600686009042,0.14974877191707492
balanced,,log2,4,2,200,0.7951070336391437,1.0273709369357675,0.0653256590012461
balanced,,log2,4,2,300,0.8134556574923547,1.5290971760405228,0.08570793399121612
balanced,,log2,4,2,500,0.8134556574923547,2.4608292980119586,0.11698288097977638
balanced,,log2,4,2,800,0.8103975535168195,3.99744012998417,0.17248060705605894
balanced,,log2,4,5,200,0.7951070336391437,1.03266467503272,0.06813965598121285
balanced,,log2,4,5,300,0.8134556574923547,1.5310447589727119,0.07589682296384126
balanced,,log2,4,5,500,0.8134556574923547,2.4925134259974584,0.11686136107891798
balanced,,log2,4,5,800,0.8103975535168195,3.9478786590043455,0.1617144460324198
balanced,,log2,4,10,200,0.7981651376146789,1.033306457917206,0.0645056979265064
balanced,,log2,4,10,300,0.8134556574923547,1.5052879969589412,0.0846614739857614
balanced,,log2,4,10,500,0.8195718654434251,2.5013406520010903,0.11841750307939947
balanced,,log2,4,10,800,0.8226299694189603,3.957730352994986,0.17164362594485283
balanced,10.0,sqrt,1,2,200,0.636085626911315,4.259055375936441,0.06506376899778843
balanced,10.0,sqrt,1,2,300,0.6452599388379205,6.218629359034821,0.07645606994628906
balanced,10.0,sqrt,1,2,500,0.6819571865443425,10.299268809962086,0.10867405601311475
balanced,10.0,sqrt,1,2,800,0.6758409785932722,16.38062195002567,0.16051060508470982
balanced,10.0,sqrt,1,5,200,0.636085626911315,4.11055252503138,0.06468906195368618
balanced,10.0,sqrt,1,5,300,0.6422018348623854,6.138140166993253,0.08653840294573456
balanced,10.0,sqrt,1,5,500,0.6758409785932722,10.207474222988822,0.10694121301639825
balanced,10.0,sqrt,1,5,800,0.6941896024464832,16.383939558058046,0.14237087196670473
balanced,10.0,sqrt,1,10,200,0.6391437308868502,4.101003861986101,0.06577084597665817
balanced,10.0,sqrt,1,10,300,0.6452599388379205,6.129642854910344,0.07673496194183826
balanced,10.0,sqrt,1,10,500,0.6483180428134556,10.161363568040542,0.10671430302318186
balanced,10.0,sqrt,1,10,800,0.6513761467889908,16.1833735529799,0.16877017100341618
balanced,10.0,sqrt,2,2,200,0.654434250764526,4.153384926030412,0.06500299100298434
balanced,10.0,sqrt,2,2,300,0.6483180428134556,6.149331099004485,0.0856248780619353
balanced,10.0,sqrt,2,2,500,0.6758409785932722,10.174408379010856,0.11061330093070865
balanced,10.0,sqrt,2,2,800,0.6850152905198776,16.237673875992186,0.16418783296830952
balanced,10.0,sqrt,2,5,200,0.6146788990825688,4.14286348700989,0.06755572697147727
balanced,10.0,sqrt,2,5,300,0.636085626911315,6.1095258090645075,0.07937950105406344
balanced,10.0,sqrt,2,5,500,0.6697247706422018,10.104186030919664,0.11798157903831452
balanced,10.0,sqrt,2,5,800,0.6880733944954128,16.171231898013502,0.15190406900364906
balanced,10.0,sqrt,2,10,200,0.6207951070336392,4.136919167009182,0.06825205602217466
balanced,10.0,sqrt,2,10,300,0.6422018348623854,6.1551731049548835,0.07790292496792972
balanced,10.0,sqrt,2,10,500,0.6513761467889908,10.056645501987077,0.1184077620273456
balanced,10.0,sqrt,2,10,800,0.6605504587155964,16.298734075040556,0.149268965004012
balanced,10.0,sqrt,4,2,200,0.6483180428134556,4.059531119070016,0.06818930804729462
balanced,10.0,sqrt,4,2,300,0.672782874617737,6.072688929969445,0.08708789199590683
balanced,10.0,sqrt,4,2,500,0.6636085626911316,10.062478678068146,0.10976253601256758
balanced,10.0,sqrt,4,2,800,0.6605504587155964,16.07775604701601,0.16906701889820397
balanced,10.0,sqrt,4,5,200,0.6483180428134556,4.072380915982649,0.06594234006479383
balanced,10.0,sqrt,4,5,300,0.672782874617737,6.109391483012587,0.08598012302536517
balanced,10.0,sqrt,4,5,500,0.6636085626911316,10.064286831999198,0.11846963898278773
balanced,10.0,sqrt,4,5,800,0.6605504587155964,15.982518921024166,0.13995199603959918
balanced,10.0,sqrt,4,10,200,0.6391437308868502,4.092371770995669,0.06519071594811976
balanced,10.0,sqrt,4,10,300,0.6574923547400612,6.0996690089814365,0.0765261499909684
balanced,10.0,sqrt,4,10,500,0.6452599388379205,10.08068141399417,0.11904817004688084
balanced,10.0,sqrt,4,10,800,0.6697247706422018,16.02492541691754,0.17295881896279752
balanced,10.0,log2,1,2,200,0.6880733944954128,0.8086080059874803,0.06613997695967555
balanced,10.0,log2,1,2,300,0.7308868501529052,1.1369604079518467,0.07806043699383736
balanced,10.0,log2,1,2,500,0.7492354740061162,1.895685474970378,0.11810561700258404
balanced,10.0,log2,1,2,800,0.7675840978593272,2.95949453196954,0.16226503800135106
balanced,10.0,log2,1,5,200,0.7003058103975535,0.7964525690767914,0.0641202669357881
balanced,10.0,log2,1,5,300,0.7400611620795107,1.1542572840116918,0.08847733400762081
balanced,10.0,log2,1,5,500,0.7370030581039755,1.875061155995354,0.10822929698042572
balanced,10.0,log2,1,5,800,0.7431192660550459,2.9620922229951248,0.17269154801033437
balanced,10.0,log2,1,10,200,0.672782874617737,0.7839059330290183,0.06597362109459937
balanced,10.0,log2,1,10,300,0.72782874617737,1.1567154929507524,0.0799861530540511
balanced,10.0,log2,1,10,500,0.7247706422018348,1.8879571999423206,0.09776918694842607
balanced,10.0,log2,1,10,800,0.7492354740061162,2.913776663946919,0.15978889702819288
balanced,10.0,log2,2,2,200,0.691131498470948,0.8217252269387245,0.06658442004118115
balanced,10.0,log2,2,2,300,0.7308868501529052,1.1195185229880735,0.07668484002351761
balanced,10.0,log2,2,2,500,0.7522935779816514,1.865526832989417,0.11514632904436439
balanced,10.0,log2,2,2,800,0.746177370030581,3.02694530505687,0.159414671943523
balanced,10.0,log2,2,5,200,0.6972477064220184,0.7867075629765168,0.06518424896057695
balanced,10.0,log2,2,5,300,0.72782874617737,1.121919184923172,0.08630002499558032
balanced,10.0,log2,2,5,500,0.72782874617737,1.8572304280241951,0.11693777295295149
balanced,10.0,log2,2,5,800,0.7522935779816514,2.9828152910340577,0.1581606500549242
balanced,10.0,log2,2,10,200,0.691131498470948,0.7868523489451036,0.0683928100625053
