C,gamma,kernel,validation_position_accuracy,fit_seconds,predict_seconds
0.1,scale,rbf,0.03333333333333333,2.7268840990727767,1.0948138299863786
0.1,auto,rbf,0.03333333333333333,2.7297024549916387,1.1209992379881442
0.1,0.001,rbf,0.03333333333333333,2.736349225975573,1.3085627550026402
0.1,0.0001,rbf,0.03333333333333333,2.7344406850170344,1.155048931017518
1.0,scale,rbf,0.5636363636363636,2.80244634707924,1.2934012109180912
1.0,auto,rbf,0.5636363636363636,2.7209327099844813,1.084438954014331
1.0,0.001,rbf,0.49393939393939396,2.8276186080183834,1.2364403209649026
1.0,0.0001,rbf,0.42424242424242425,2.510174883995205,1.2242318469798192
10.0,scale,rbf,0.593939393939394,2.848640081938356,1.2218999350443482
10.0,auto,rbf,0.593939393939394,2.806088597048074,1.142317163059488
10.0,0.001,rbf,0.503030303030303,2.8472864200593904,1.0914826940279454
10.0,0.0001,rbf,0.5696969696969697,2.5832219281001016,1.102831643074751
100.0,scale,rbf,0.593939393939394,2.802462597959675,1.1977098190691322
100.0,auto,rbf,0.593939393939394,2.779606358963065,1.1934081569779664
100.0,0.001,rbf,0.503030303030303,2.792805547011085,1.2236749849980697
100.0,0.0001,rbf,0.5787878787878787,2.586771738016978,1.130853126058355
