C,gamma,kernel,validation_position_accuracy,fit_seconds,predict_seconds
0.1,scale,rbf,0.06483790523690773,9.185782375046983,2.1852456680499017
0.1,auto,rbf,0.06483790523690773,9.034895665943623,1.9485600620973855
0.1,0.001,rbf,0.032418952618453865,9.10124646301847,2.3935463409870863
0.1,0.0001,rbf,0.04239401496259352,9.132096310029738,2.621125617995858
1.0,scale,rbf,0.4164588528678304,8.335845411056653,2.4129614901030436
1.0,auto,rbf,0.4164588528678304,8.381055802921765,2.088018545997329
1.0,0.001,rbf,0.38902743142144636,9.52388703590259,2.116381971980445
1.0,0.0001,rbf,0.3491271820448878,7.2536943790037185,1.9869370490778238
10.0,scale,rbf,0.46633416458852867,8.527604736038484,2.2944861899595708
10.0,auto,rbf,0.46633416458852867,8.68748411803972,2.1192543209763244
10.0,0.001,rbf,0.4114713216957606,9.519427308929153,1.9942067039664835
10.0,0.0001,rbf,0.4613466334164589,6.3151972140185535,2.1550771290203556
100.0,scale,rbf,0.4613466334164589,8.744639871059917,2.1452464510221034
100.0,auto,rbf,0.4613466334164589,8.543566037900746,2.1422819499857724
100.0,0.001,rbf,0.4114713216957606,9.202295636991039,2.150534237967804
100.0,0.0001,rbf,0.48129675810473815,6.575928400969133,2.0003741739783436
