C,gamma,kernel,validation_position_accuracy,fit_seconds,predict_seconds
0.1,scale,rbf,0.0410783055198973,45.359130693017505,32.34510855097324
0.1,auto,rbf,0.0410783055198973,45.16523475199938,32.29537268402055
0.1,0.001,rbf,0.026957637997432605,45.3828197370749,31.77499441395048
0.1,0.0001,rbf,0.06290115532734275,45.18492710602004,32.35902613704093
1.0,scale,rbf,0.6123234916559692,43.34005427802913,32.07053467002697
1.0,auto,rbf,0.6123234916559692,43.1914660759503,31.97425381001085
1.0,0.001,rbf,0.28754813863928114,45.578367311973125,31.746690988074988
1.0,0.0001,rbf,0.5982028241335045,39.722134727053344,31.907250273041427
10.0,scale,rbf,0.6495507060333762,43.759765596012585,32.09566707897466
10.0,auto,rbf,0.6495507060333762,43.56507740798406,32.10437159903813
10.0,0.001,rbf,0.32349165596919127,45.57050674094353,32.27161461603828
10.0,0.0001,rbf,0.6623876765083441,41.14318832999561,32.20686396199744
100.0,scale,rbf,0.6495507060333762,43.75037971499842,32.0502821150003
100.0,auto,rbf,0.6495507060333762,43.714093759073876,32.07144599210005
100.0,0.001,rbf,0.32349165596919127,46.15831664507277,32.313663476961665
100.0,0.0001,rbf,0.6623876765083441,41.57808077801019,32.48614701197948
